date,architecture and engineering,"arts, design, entertainment, sports, and media",building and grounds cleaning and maintenance,business and financial operations,community and social service,computer and mathematical,construction and extraction,"education, training, and library","farming, fishing, and forestry",food preparation and serving related,healthcare practitioners and technical,healthcare support,"installation, maintenance, and repair",legal,"life, physical, and social science",management,office and administrative support,personal care and service,production,protective service,sales and related,transportation and material moving
1999-05-01,10320.0,4640.0,20950.0,16700.0,10410.0,6730.0,22600.0,48100.0,290.0,53220.0,33270.0,15950.0,21370.0,2300.0,3380.0,22980.0,103380.0,12500.0,58270.0,15850.0,55910.0,35130.0
2000-05-01,9090.0,4160.0,17270.0,16680.0,9890.0,8650.0,23560.0,37160.0,180.0,44170.0,28970.0,14400.0,23720.0,3230.0,4060.0,20280.0,106920.0,10180.0,53820.0,11410.0,58060.0,32780.0
2001-05-01,9650.0,4670.0,16170.0,16950.0,8320.0,8960.0,21860.0,39220.0,300.0,41680.0,27100.0,14260.0,22660.0,3790.0,4480.0,20460.0,105900.0,12140.0,50350.0,11710.0,54870.0,31730.0
2002-05-01,9070.0,4730.0,17590.0,17340.0,8350.0,8570.0,24030.0,41580.0,230.0,41470.0,27350.0,15700.0,22730.0,3910.0,3850.0,20380.0,102740.0,10750.0,50330.0,12370.0,55340.0,32910.0
2003-05-01,8960.0,4720.0,19020.0,17170.0,7740.0,8950.0,22880.0,41960.0,250.0,42550.0,27250.0,15890.0,23470.0,4420.0,3910.0,19940.0,101900.0,12030.0,49640.0,10290.0,55340.0,32560.0
2003-11-01,8090.0,4750.0,19130.0,18090.0,7860.0,9300.0,23120.0,41080.0,300.0,42990.0,28360.0,15680.0,23480.0,4520.0,4050.0,19590.0,98410.0,12090.0,49620.0,10210.0,54370.0,32170.0
2004-05-01,7390.0,4820.0,18530.0,18030.0,8190.0,9650.0,22020.0,42780.0,520.0,43930.0,28420.0,15850.0,23540.0,4950.0,4720.0,19990.0,100810.0,13130.0,47570.0,10790.0,53270.0,34750.0
2004-11-01,7320.0,5000.0,19180.0,18260.0,8600.0,9930.0,20800.0,43030.0,420.0,42230.0,29160.0,15980.0,22930.0,5250.0,5020.0,20030.0,100630.0,13190.0,46540.0,11590.0,55390.0,35090.0
2005-05-01,6810.0,5110.0,18850.0,18510.0,9320.0,9890.0,20450.0,42250.0,480.0,43940.0,29430.0,16040.0,23120.0,5130.0,5150.0,18940.0,100710.0,12990.0,47270.0,11010.0,56940.0,34720.0
2006-05-01,6440.0,4950.0,18220.0,20360.0,9950.0,9120.0,19620.0,41310.0,390.0,44840.0,30950.0,16750.0,21280.0,4380.0,4800.0,19060.0,104170.0,11980.0,46010.0,12230.0,55890.0,32260.0
2007-05-01,7000.0,5230.0,17510.0,20440.0,10240.0,9450.0,20110.0,40030.0,290.0,46260.0,30640.0,18090.0,20640.0,4100.0,5290.0,19090.0,105150.0,12540.0,44560.0,11890.0,56060.0,31240.0
2008-05-01,7440.0,5370.0,17450.0,21550.0,9930.0,9580.0,20760.0,40790.0,180.0,48290.0,30260.0,18900.0,20150.0,4270.0,5510.0,19990.0,106110.0,13680.0,43030.0,11450.0,55310.0,30600.0
2009-05-01,7270.0,5090.0,17530.0,22080.0,10820.0,11280.0,20680.0,41190.0,190.0,48300.0,31230.0,18890.0,18620.0,4350.0,6760.0,19640.0,104140.0,14420.0,38950.0,11110.0,52620.0,29130.0
2010-05-01,6940.0,4980.0,17270.0,23110.0,11040.0,11460.0,20290.0,41600.0,160.0,47150.0,32250.0,18340.0,18660.0,4850.0,5520.0,18920.0,101050.0,14540.0,35330.0,12320.0,52240.0,28240.0
2011-05-01,6270.0,5200.0,17110.0,23630.0,10480.0,12440.0,19810.0,40390.0,130.0,47310.0,33290.0,17460.0,19180.0,4800.0,5430.0,19840.0,101090.0,17340.0,34400.0,12650.0,52960.0,28350.0
2012-05-01,6460.0,5350.0,17110.0,25230.0,8590.0,13220.0,18960.0,41420.0,140.0,49310.0,32850.0,14850.0,19320.0,4620.0,4560.0,20600.0,98060.0,18650.0,34320.0,14990.0,54820.0,29110.0
2013-05-01,7390.0,5220.0,18230.0,25080.0,8670.0,12580.0,17360.0,40100.0,60.0,52130.0,33130.0,14360.0,19600.0,4440.0,3830.0,21560.0,97960.0,18820.0,33990.0,14830.0,53600.0,29950.0
2014-05-01,7750.0,5290.0,18430.0,25120.0,8820.0,13170.0,18380.0,39950.0,100.0,52430.0,32630.0,15020.0,19810.0,4280.0,3590.0,22390.0,95800.0,18500.0,35980.0,15100.0,55620.0,31080.0
2015-05-01,7800.0,5500.0,18860.0,24630.0,9690.0,11630.0,19050.0,40210.0,70.0,51600.0,34210.0,15810.0,19750.0,4150.0,3460.0,23230.0,94730.0,18470.0,35810.0,14890.0,59360.0,30870.0
2016-05-01,7250.0,5570.0,18210.0,23920.0,10270.0,12630.0,20140.0,41680.0,100.0,52460.0,34950.0,15760.0,19450.0,4370.0,4650.0,23210.0,92780.0,19870.0,35540.0,14920.0,60020.0,30870.0
2017-05-01,7710.0,5890.0,17350.0,25110.0,10930.0,13710.0,19230.0,41040.0,50.0,53770.0,35340.0,15090.0,20380.0,4590.0,4610.0,22860.0,89690.0,21920.0,34370.0,15280.0,58060.0,30770.0
