date,architecture and engineering,"arts, design, entertainment, sports, and media",building and grounds cleaning and maintenance,business and financial operations,community and social service,computer and mathematical,construction and extraction,"education, training, and library","farming, fishing, and forestry",food preparation and serving related,healthcare practitioners and technical,healthcare support,"installation, maintenance, and repair",legal,"life, physical, and social science",management,office and administrative support,personal care and service,production,protective service,sales and related,transportation and material moving
1999-05-01,22.36,14.17,9.4,20.59,15.31,21.71,17.69,20.01,8.01,6.78,18.95,9.1,15.42,23.8,20.92,31.98,11.61,7.61,13.72,14.32,12.0,12.55
2000-05-01,23.24,16.04,9.39,20.91,15.42,23.59,17.6,18.56,9.58,6.92,21.95,10.29,16.0,25.92,23.59,32.86,12.15,8.52,14.2,16.81,12.68,12.48
2001-05-01,24.49,16.34,9.9,21.78,16.1,24.47,18.51,18.75,10.89,7.71,22.67,10.77,16.53,26.62,23.81,34.48,12.63,8.5,14.67,16.3,12.77,12.92
2002-05-01,25.74,18.67,10.19,23.11,16.42,25.88,19.05,19.78,11.74,7.71,24.21,10.78,17.24,30.86,25.57,39.02,13.14,8.71,15.73,17.02,13.27,13.25
2003-05-01,26.1,17.94,10.23,24.57,16.2,26.2,19.08,19.54,11.67,7.9,25.2,10.95,17.53,31.05,25.81,40.31,13.21,8.83,15.87,16.51,13.43,12.99
2003-11-01,26.59,17.67,10.28,25.1,16.65,25.38,18.9,19.91,10.98,8.16,24.73,11.09,17.74,32.7,25.94,39.86,13.26,8.91,15.77,16.56,13.44,13.3
2004-05-01,26.61,18.66,10.45,24.56,17.26,24.86,19.34,20.32,10.14,8.37,25.35,11.08,18.11,31.58,26.52,41.77,13.62,9.03,15.91,16.52,13.51,13.23
2004-11-01,27.3,19.32,10.4,25.13,17.31,25.7,19.77,20.69,10.33,8.39,25.09,11.21,18.46,31.7,27.22,41.62,13.73,9.43,16.16,16.7,13.91,13.28
2005-05-01,27.36,19.17,10.92,25.39,16.89,25.9,19.97,21.69,9.8,8.36,26.06,11.29,18.22,34.74,26.37,42.08,13.78,9.73,15.98,17.28,14.43,13.45
2006-05-01,29.03,19.01,11.13,25.97,18.0,26.94,21.11,22.23,10.23,8.85,27.28,11.8,18.56,34.25,28.06,43.42,14.21,10.08,16.36,18.47,15.59,13.96
2007-05-01,29.94,20.69,11.66,26.83,18.59,29.69,21.08,23.36,11.26,9.33,28.64,12.27,18.95,37.39,25.31,45.05,14.52,10.61,16.88,19.97,16.03,14.16
2008-05-01,31.31,21.37,11.91,28.11,20.17,30.35,21.66,23.82,,9.63,30.21,12.6,19.33,39.55,25.56,47.19,15.1,10.85,17.14,21.37,16.73,14.79
2009-05-01,32.49,22.08,11.95,28.98,20.22,30.34,21.38,23.87,16.31,9.84,31.35,12.99,19.84,43.43,24.98,48.18,15.29,11.2,17.01,21.27,16.82,14.89
2010-05-01,33.17,21.28,12.51,30.27,20.2,30.83,22.14,24.07,,9.92,32.49,12.85,20.1,39.86,25.43,49.47,15.54,11.32,17.04,23.23,17.24,15.17
2011-05-01,32.19,20.73,12.68,30.96,20.5,31.5,22.44,24.21,13.75,10.06,33.51,13.25,20.32,37.72,26.31,50.62,15.77,10.98,17.14,22.88,17.0,15.17
2012-05-01,32.15,21.26,12.72,30.76,20.92,31.5,22.81,22.83,14.54,9.97,33.62,13.31,20.58,36.71,27.72,50.77,16.03,11.27,17.42,22.83,16.91,15.82
2013-05-01,33.2,21.27,12.64,30.74,20.64,32.18,22.7,22.72,18.57,10.05,34.4,13.97,20.77,38.67,29.47,51.0,16.29,11.38,17.98,21.78,16.74,15.68
2014-05-01,33.75,21.94,12.97,31.45,21.01,32.47,22.94,23.07,16.34,10.58,34.86,13.93,20.98,39.0,30.42,50.36,16.82,11.84,18.44,22.11,16.94,15.83
2015-05-01,34.47,22.19,13.43,32.23,21.0,32.59,23.79,24.14,16.85,11.05,35.6,14.36,21.35,41.13,31.22,51.34,17.29,12.33,18.89,21.4,18.02,16.02
2016-05-01,35.43,24.17,13.98,33.02,21.44,34.01,24.32,24.95,16.54,11.56,36.57,14.92,21.59,42.32,27.32,53.46,17.77,12.6,18.95,21.88,18.62,16.47
2017-05-01,36.57,25.81,14.51,33.96,22.07,35.36,24.56,26.25,21.61,12.12,38.66,15.37,22.76,44.77,28.08,56.37,18.14,13.0,19.46,22.44,18.86,16.89
